"cases","Rt","Rt2","p1","lwr","upr"
254,0.706241519674355,0.706049309497585,0,0.651583669077063,0.763611108295626
213,0.791546589817483,0.791162009833313,2.43145638734177e-07,0.721220586051865,0.865794496941412
162,0.763349514563107,0.762910798122066,1.48872196792382e-07,0.686661901396164,0.844953860481452
144,0.825119236883943,0.824410073369026,0.000576572523816488,0.732604550029972,0.92417044152342
111,0.803468208092486,0.802666346384819,0.000420735157593999,0.703994589697596,0.910814993238496
120,0.899280575539568,0.897968329847625,0.0676477398489118,0.779105404952329,1.02947884003386
124,0.946666666666667,0.945034872135503,0.229436964488368,0.815217511233372,1.08938311320745
92,0.946478873239437,0.944756225885654,0.234755228184615,0.811574997274614,1.09327997143668
82,0.886904761904762,0.885327899221934,0.0654427593676072,0.755112995911639,1.03108159581359
108,0.946308724832215,0.944258872651357,0.253062447818377,0.799743019597154,1.10702833876548
98,1.02127659574468,1.01874724305249,0.599285632971737,0.861729504290577,1.19604264873902
162,1.27777777777778,1.27408207343413,0.999124078658624,1.08934009927389,1.48202117099856
175,1.1820652173913,1.17952622673435,0.991033170077262,1.02447566224273,1.35178589682142
173,1.17241379310345,1.17029504439989,0.992699209937123,1.02789978266153,1.32717935434933
194,1.06274509803922,1.06123197262283,0.838195693432612,0.938743388609853,1.19527863084595
179,1.00738007380074,1.00609615827007,0.548278994327132,0.891821655408828,1.1308643312207
232,1.10805860805861,1.10653117150034,0.959076702607916,0.98411189538236,1.24006225197798
218,1.0396694214876,1.03844568130282,0.752842351483178,0.927385448559431,1.15911203908598
304,1.19872813990461,1.19720404521118,0.999616652800714,1.07562593219126,1.32897645803672
252,1.02652519893899,1.02556677147112,0.695601485947035,0.926564381435926,1.13221683713123
401,1.23643410852713,1.23512816379171,0.999994677936698,1.12236610430413,1.35636427423704
418,1.11912225705329,1.11823398982653,0.994339757969999,1.02395939989182,1.21890320505453
502,1.23342670401494,1.23248630376501,0.999999844944698,1.13623569204142,1.33485551847568
581,1.13626040878123,1.13559882786653,0.9996505961591,1.05398567579292,1.22189664676124
512,1.06262491672219,1.06210999251186,0.954460898862155,0.989229125476446,1.13892911336439
535,1.02068965517241,1.02024117140396,0.719500435995624,0.951604638164485,1.09248476919038
861,1.17199017199017,1.17142309167626,0.99999877189887,1.09591017145526,1.25082149976908
978,1.24423480083857,1.24369885433715,0.999999999999495,1.17048790076231,1.32036900799718
1280,1.31381634372367,1.31334526127454,1,1.24468564024698,1.3848966323659
1459,1.19172811798653,1.19142330649361,0.999999999999772,1.13574959675688,1.24915041631734
1685,1.19020715630885,1.18995192792551,0.999999999999998,1.13892183992398,1.24270371634951
2025,1.16839963833635,1.16819196113324,0.999999999999986,1.12201267007225,1.21579928856726
2480,1.19752369897466,1.19733820080748,1,1.15374484921936,1.24217519346481
2963,1.2064620355412,1.20630514223416,1,1.16618856351968,1.24746577624862
4235,1.29592929833958,1.29578277968371,1,1.25712198699237,1.33535438302085
4967,1.25697458152511,1.25686704978369,1,1.22365744231494,1.29076428755614
4859,1.15585696670777,1.15578284410928,1,1.12799149266921,1.18408979077813
