"SE","start","end","cases","Rt","Rt2","p1","lwr","upr"
46,"1996-11-18","1996-11-24",8,1.66666666666667,1.51204819277108,0.894980192184448,0.647605472805937,3.08384992629398
47,"1996-11-25","1996-12-01",6,1.13333333333333,1.08015267175573,0.639949934091419,0.519928150810318,1.99721114555176
48,"1996-12-02","1996-12-08",31,2.64705882352941,2.48639455782313,0.999867860669086,1.41857901328581,4.15763142718785
49,"1996-12-09","1996-12-15",50,1.93333333333333,1.89083557951482,0.999892111737609,1.31003478282844,2.66541923107103
50,"1996-12-16","1996-12-22",38,1.36781609195402,1.35431400282885,0.987410164105562,1.02023895111583,1.76754863013907
51,"1996-12-23","1996-12-29",26,0.957983193277311,0.952751817237799,0.37139529105062,0.731252772303702,1.21982691132061
52,"1996-12-30","1997-01-05",7,0.62280701754386,0.621343445287107,0.000728150405665318,0.4561184868382,0.823256388937336
1,"1997-01-06","1997-01-12",24,0.802816901408451,0.79706390328152,0.106982577017711,0.553992328073496,1.10765769862916
2,"1997-01-13","1997-01-19",17,0.842105263157895,0.834047109207709,0.188791961649049,0.558183171912614,1.19590286270071
3,"1997-01-20","1997-01-26",26,1.39583333333333,1.37088607594937,0.962653734960117,0.935992335856287,1.94824968255841
4,"1997-01-27","1997-02-02",13,0.835820895522388,0.829067641681901,0.159654148737622,0.572542286407097,1.15880781774221
5,"1997-02-03","1997-02-09",22,1.08928571428571,1.07516339869281,0.678666287310194,0.738235382482024,1.51540931625569
6,"1997-02-10","1997-02-16",23,0.950819672131147,0.940881763527054,0.391277930705876,0.647386244031319,1.32134872762277
7,"1997-02-17","1997-02-23",44,1.53448275862069,1.51052631578947,0.994971762216537,1.07621998605572,2.07232237351482
8,"1997-02-24","1997-03-02",65,1.48314606741573,1.46818810511757,0.998177195051142,1.11537871909697,1.90316910279452
9,"1997-03-03","1997-03-09",49,1.1969696969697,1.18978444236176,0.936991919512253,0.939122853911122,1.48831031799921
10,"1997-03-10","1997-03-16",22,0.860759493670886,0.857647058823529,0.0993103854263668,0.677411596507756,1.07007649247057
11,"1997-03-17","1997-03-23",33,0.764705882352941,0.762056414922657,0.0191191523908608,0.585224911199453,0.973591917996984
12,"1997-03-24","1997-03-30",56,1.06730769230769,1.05990510083037,0.683804854341782,0.804884524235678,1.37080679475692
13,"1997-03-31","1997-04-06",306,3.55855855855856,3.52113459399333,1,2.84871865936376,4.32869306249702
14,"1997-04-07","1997-04-13",29,0.989873417721519,0.988174077578051,0.443243320652889,0.857183015834177,1.13337556679056
15,"1997-04-14","1997-04-20",32,0.938618925831202,0.937081873208028,0.191530086222557,0.810598588662216,1.07742735942218
16,"1997-04-21","1997-04-27",17,0.212534059945504,0.21360705802511,0,0.165274102654354,0.269266767812916
17,"1997-04-28","1997-05-04",17,0.846153846153846,0.840157480314961,0.157812448721671,0.59742875299658,1.14653359980327
18,"1997-05-05","1997-05-11",12,0.696969696969697,0.692949907235622,0.028581822623301,0.466602778529948,0.985969232223592
19,"1997-05-12","1997-05-18",16,0.978260869565217,0.964379947229551,0.458064438505645,0.628034987813564,1.41686983719278
20,"1997-05-19","1997-05-25",7,0.777777777777778,0.769541778975741,0.130212762948622,0.483050367288332,1.15884436723918
21,"1997-05-26","1997-06-01",9,0.914285714285714,0.898625429553265,0.356115441318677,0.542790679142878,1.39855094805276
22,"1997-06-02","1997-06-08",10,0.8125,0.799625468164794,0.213521428251628,0.462100924819277,1.28289572704449
23,"1997-06-09","1997-06-15",6,0.961538461538462,0.938356164383562,0.443862413670393,0.525902713316994,1.54700484883338
24,"1997-06-16","1997-06-22",7,0.92,0.898104265402844,0.385433497286514,0.49333356384301,1.5006781646306
25,"1997-06-23","1997-06-29",10,1,0.971794871794872,0.499999999999999,0.528273581140075,1.6403846033427
26,"1997-06-30","1997-07-06",12,1.26086956521739,1.21794871794872,0.799469004486031,0.688775585760109,2.00995055354705
27,"1997-07-07","1997-07-13",6,0.96551724137931,0.944444444444444,0.446926547417511,0.546805279517637,1.51991341509182
28,"1997-07-14","1997-07-20",3,0.75,0.738297872340426,0.156163403736635,0.403592636056266,1.23048026647441
29,"1997-07-21","1997-07-27",5,0.666666666666667,0.656424581005587,0.114740506513044,0.315562082202414,1.1893967898422
30,"1997-07-28","1997-08-03",2,0.714285714285714,0.695121951219512,0.202436447143555,0.287061071290431,1.38959606801339
31,"1997-08-04","1997-08-10",5,1.2,1.11538461538462,0.668188095092773,0.461070314220281,2.28898959322114
32,"1997-08-11","1997-08-17",6,1.08333333333333,1.02336448598131,0.580590128898621,0.445757047915031,2.01964851623146
33,"1997-08-18","1997-08-24",2,1,0.952173913043478,0.5,0.420104215106143,1.85630579328989
34,"1997-08-25","1997-08-31",4,0.923076923076923,0.882608695652174,0.419409871101379,0.380998713471275,1.73834265936702
35,"1997-09-01","1997-09-07",4,0.833333333333333,0.799065420560748,0.331811904907227,0.322601075088836,1.63214548146223
36,"1997-09-08","1997-09-14",3,1.1,1.02747252747253,0.588098526000976,0.414499542193678,2.13129902704898
37,"1997-09-15","1997-09-21",2,0.818181818181818,0.782828282828283,0.323802947998047,0.301162853262097,1.64404555371397
38,"1997-09-22","1997-09-28",1,0.666666666666667,0.644578313253012,0.21197509765625,0.20505985063117,1.48454846621191
39,"1997-09-29","1997-10-05",10,2.16666666666667,1.85593220338983,0.951873779296875,0.707213674106127,4.15118372186975
40,"1997-10-06","1997-10-12",5,1.23076923076923,1.16086956521739,0.714205905795097,0.538854175892391,2.20871673719899
41,"1997-10-13","1997-10-19",2,1.0625,1.01798561151079,0.569974967045709,0.494820541313918,1.8646307462401
42,"1997-10-20","1997-10-26",3,0.588235294117647,0.581632653061224,0.0843187719583512,0.246437848202689,1.13453819735933
43,"1997-10-27","1997-11-02",0,0.5,0.5,0.08978271484375,0.148128604132216,1.17141752495222
44,"1997-11-03","1997-11-09",6,1.8,1.51960784313725,0.8665771484375,0.50383311381693,3.66095035125955
45,"1997-11-10","1997-11-16",4,1.11111111111111,1.03012048192771,0.592735290527344,0.396518303421537,2.20084863409951
46,"1997-11-17","1997-11-23",8,1.8,1.64285714285714,0.938960939645767,0.745987229070261,3.22942744778584
47,"1997-11-24","1997-11-30",4,0.888888888888889,0.861290322580645,0.364166240440682,0.419864518620217,1.56336725214326
48,"1997-12-01","1997-12-07",2,0.875,0.845323741007194,0.355535551905632,0.392219067087531,1.58492928801851
49,"1997-12-08","1997-12-14",5,0.785714285714286,0.760162601626016,0.270628094673157,0.323455976665317,1.49901643447569
50,"1997-12-15","1997-12-21",7,1.27272727272727,1.18686868686869,0.729371905326843,0.519051247076742,2.35475956963612
51,"1997-12-22","1997-12-28",2,1,0.955284552845528,0.5,0.434597947399301,1.82525485648778
52,"1997-12-29","1998-01-04",12,1.5,1.41056910569106,0.885259493486956,0.700632314483186,2.5795837256359
1,"1998-01-05","1998-01-11",26,1.9047619047619,1.81843575418994,0.993255353134404,1.06015095606742,2.96277428190315
2,"1998-01-12","1998-01-18",30,1.7,1.66012084592145,0.99674111768436,1.11277680216094,2.40349995297657
3,"1998-01-19","1998-01-25",30,1.26470588235294,1.24954954954955,0.927317225126364,0.900723061558057,1.6934029085612
4,"1998-01-26","1998-02-01",32,1.06976744186047,1.06080114449213,0.673939177670498,0.783363152082792,1.40562012957788
5,"1998-02-02","1998-02-08",22,0.91304347826087,0.906961178045515,0.272736328923949,0.66777547750771,1.20299438715523
6,"1998-02-09","1998-02-15",34,1.04761904761905,1.03879941434846,0.620102982939085,0.762965253343152,1.38261306565258
7,"1998-02-16","1998-02-22",35,1.03409090909091,1.02587412587413,0.588916505932508,0.758160307088365,1.35799216865473
8,"1998-02-23","1998-03-01",48,1.28571428571429,1.27401894451962,0.96475732709471,0.96193730244738,1.65856465917219
9,"1998-03-02","1998-03-08",97,1.53846153846154,1.52639915522703,0.999880985082826,1.20397946241418,1.91347296506178
10,"1998-03-09","1998-03-15",193,1.87777777777778,1.86733287388008,0.999999999998753,1.55462614667039,2.22939064664589
11,"1998-03-16","1998-03-22",583,2.58284023668639,2.5744014732965,1,2.26847653901883,2.91461158788726
12,"1998-03-23","1998-03-29",1059,2.10194730813288,2.09942816297355,1,1.93591134205999,2.27420353505557
13,"1998-03-30","1998-04-05",4672,3.4408719346049,3.43866993397318,1,3.26401229171361,3.62145186330133
14,"1998-04-06","1998-04-12",1246,1.10500475134621,1.1048730281258,0.99999999559707,1.06774122768242,1.14296753903395
15,"1998-04-13","1998-04-19",1394,1.04801490612011,1.04790692675587,0.997466152569491,1.01395489769647,1.08269928026992
16,"1998-04-20","1998-04-26",1110,0.512855579868709,0.5128531628694,0,0.492927244507892,0.533303746936043
17,"1998-04-27","1998-05-03",760,0.8704,0.870264236446636,3.20522319796623e-09,0.830127425414762,0.911784769106
18,"1998-05-04","1998-05-10",519,0.731924019607843,0.731826359912721,0,0.693924073776546,0.771157681208611
19,"1998-05-11","1998-05-17",434,0.717036416910841,0.716911572452021,0,0.673394819908188,0.762356735673757
20,"1998-05-18","1998-05-24",307,0.735551663747811,0.735362741523879,0,0.683244575678981,0.790210304459659
21,"1998-05-25","1998-05-31",180,0.730952380952381,0.7307006243187,1.73194791841524e-13,0.670474752584588,0.794621793496094
22,"1998-06-01","1998-06-07",128,0.667752442996743,0.667502371595067,2.33146835171283e-15,0.601792975222814,0.738005091074733
23,"1998-06-08","1998-06-14",60,0.598373983739837,0.598154532549179,1.11022302462516e-15,0.524307237091176,0.678747126152648
24,"1998-06-15","1998-06-21",58,0.668478260869565,0.667851099830795,3.8394497914318e-07,0.566122490699192,0.781544798185237
25,"1998-06-22","1998-06-28",35,0.621951219512195,0.621273370389085,1.41827098687486e-06,0.50464261268246,0.755047652216739
26,"1998-06-29","1998-07-05",28,0.790849673202614,0.788259109311741,0.0262896359994065,0.616382779410533,0.991669698877559
27,"1998-07-06","1998-07-12",18,0.669421487603306,0.667517875383044,0.00233002598732002,0.498183178422282,0.87287583586198
28,"1998-07-13","1998-07-19",21,0.827160493827161,0.821699544764795,0.124062862876896,0.586798204034437,1.1170956255854
29,"1998-07-20","1998-07-26",13,0.776119402985075,0.770566727605119,0.0835255570869011,0.527540967507893,1.08357921297658
30,"1998-07-27","1998-08-02",19,1.01923076923077,1.00585480093677,0.539025586186784,0.675672892910106,1.44214976538209
31,"1998-08-03","1998-08-09",12,0.830188679245283,0.82183908045977,0.179198816095813,0.540584005663782,1.19451863992789
32,"1998-08-10","1998-08-16",10,0.931818181818182,0.918732782369146,0.371822093052602,0.588610776765062,1.36628819424616
33,"1998-08-17","1998-08-23",11,0.804878048780488,0.794985250737463,0.174590919085295,0.490249241418956,1.2144023286793
34,"1998-08-24","1998-08-30",6,0.818181818181818,0.805454545454545,0.217496402561077,0.470124495036236,1.28297871270545
35,"1998-08-31","1998-09-06",8,0.925925925925926,0.905286343612335,0.389883965276538,0.509666950824126,1.48591780237642
36,"1998-09-07","1998-09-13",7,0.84,0.822274881516588,0.27574216490126,0.443704206426131,1.38787885248867
37,"1998-09-14","1998-09-20",7,1.04761904761905,1.01396648044693,0.561192835623842,0.540106977799474,1.73968478327088
38,"1998-09-21","1998-09-27",10,1.09090909090909,1.05614973262032,0.617004087877602,0.575253586889085,1.78506319996098
39,"1998-09-28","1998-10-04",8,1.04166666666667,1.01231527093596,0.557283251356743,0.56173138522074,1.68521659908482
40,"1998-10-05","1998-10-11",6,0.96,0.936018957345972,0.442716748643257,0.518247507793776,1.55697718453412
41,"1998-10-12","1998-10-18",5,0.791666666666667,0.775862068965517,0.220399533671298,0.407971237655281,1.33118459819874
42,"1998-10-19","1998-10-25",10,1.10526315789474,1.06441717791411,0.625370687619579,0.554238591094986,1.85991483845184
43,"1998-10-26","1998-11-01",4,0.904761904761905,0.879888268156425,0.374629312380421,0.455059344402937,1.53418567440799
44,"1998-11-02","1998-11-08",11,1.31578947368421,1.26073619631902,0.819811173532116,0.677506586685934,2.16520826680307
45,"1998-11-09","1998-11-15",9,0.96,0.936018957345972,0.442716748643257,0.518247507793776,1.55697718453412
46,"1998-11-16","1998-11-22",14,1.41666666666667,1.36699507389163,0.907574758791791,0.795875650307534,2.21271345140721
47,"1998-11-23","1998-11-29",10,0.970588235294118,0.952296819787986,0.451079250048351,0.5761302598138,1.48227972467962
48,"1998-11-30","1998-12-06",14,1.15151515151515,1.12545454545455,0.724793744088764,0.692402563103602,1.73565649218974
49,"1998-12-07","1998-12-13",14,1,0.982539682539682,0.499999999999999,0.61390850901429,1.49240834852363
