"SE","start","end","cases","Rt","p1","lwr","upr"
201202,"2012-01-08","2012-01-14",978,1.24423480083857,0.999999999999495,1.17048790076231,1.32036900799718
201203,"2012-01-15","2012-01-21",1280,1.31381634372367,1,1.24468564024698,1.3848966323659
201204,"2012-01-22","2012-01-28",1459,1.19172811798653,0.999999999999772,1.13574959675688,1.24915041631734
201205,"2012-01-29","2012-02-04",1685,1.19020715630885,0.999999999999998,1.13892183992398,1.24270371634951
201206,"2012-02-05","2012-02-11",2025,1.16839963833635,0.999999999999986,1.12201267007225,1.21579928856726
201207,"2012-02-12","2012-02-18",2480,1.19752369897466,1,1.15374484921936,1.24217519346481
201208,"2012-02-19","2012-02-25",2963,1.2064620355412,1,1.16618856351968,1.24746577624862
201209,"2012-02-26","2012-03-03",4235,1.29592929833958,1,1.25712198699237,1.33535438302085
201210,"2012-03-04","2012-03-10",4967,1.25697458152511,1,1.22365744231494,1.29076428755614
201211,"2012-03-11","2012-03-17",4859,1.15585696670777,1,1.12799149266921,1.18408979077813
201212,"2012-03-18","2012-03-24",5808,1.1118697105469,1,1.08670072150572,1.13735327777858
201213,"2012-03-25","2012-03-31",6129,1.07432518869131,0.999999999945295,1.05106660593111,1.09786421096019
201214,"2012-04-01","2012-04-07",6243,1.08240057156466,0.999999999999933,1.05982760830479,1.10523507475174
201215,"2012-04-08","2012-04-14",7525,1.09444444444444,1,1.07255864211812,1.11657256688928
201216,"2012-04-15","2012-04-21",8644,1.12640096496959,1,1.10500932659672,1.14801568279699
201217,"2012-04-22","2012-04-28",8301,1.09182580760307,1,1.07213934687534,1.11170871575543
201218,"2012-04-29","2012-05-05",6974,0.977482631794033,0.00612466892568486,0.960151040632259,0.994989298588754
201219,"2012-05-06","2012-05-12",6396,0.906016137798403,0,0.889451132363962,0.922757149256171
201220,"2012-05-13","2012-05-19",5683,0.879193392090813,0,0.862177114891595,0.896402645894593
201221,"2012-05-20","2012-05-26",5010,0.896919120348502,0,0.878509023738949,0.915549672374845
201222,"2012-05-27","2012-06-02",4038,0.862016501843291,0,0.843144229869403,0.881132441841908
201223,"2012-06-03","2012-06-09",3041,0.820650329237662,0,0.801052282674733,0.840528126731368
201224,"2012-06-10","2012-06-16",2448,0.788071800810654,0,0.767081543778317,0.809400138507744
201225,"2012-06-17","2012-06-23",1709,0.755536895140128,0,0.732625252661366,0.778873969628004
201226,"2012-06-24","2012-06-30",1226,0.74784662406224,0,0.721718308151744,0.774536875597576
201227,"2012-07-01","2012-07-07",924,0.716886494519784,0,0.687626158542889,0.746892193925201
201228,"2012-07-08","2012-07-14",604,0.713656387665198,0,0.679290685463753,0.749060783491216
201229,"2012-07-15","2012-07-21",450,0.718228031953522,0,0.677477482592917,0.760435434038053
201230,"2012-07-22","2012-07-28",333,0.701213346814965,0,0.654106730922677,0.750338847310997
