"SE","tweets","APS","casos","estacao","temp.mean","temp.sd","temp.min","temp.max","umid.mean","umid.sd","umid.min","umid.max"
201319,368,"AP2.2",202,"galeao",21.9485714285714,2.89714285714286,17.8571428571429,26.2857142857143,72.3714285714286,13.7285714285714,49.1428571428571,91.4285714285714
201320,304,"AP2.2",111,"galeao",23.6028571428571,3.25857142857143,19.4285714285714,28.8571428571429,76.53,15.3285714285714,48.1428571428571,94
201321,206,"AP2.2",82,"galeao",22.3257142857143,1.94,19.7142857142857,25.7142857142857,77.3114285714286,11.3914285714286,56.1428571428571,93.1428571428571
201322,193,"AP2.2",22,"galeao",22.3714285714286,2.55142857142857,19.1428571428571,27,76.2628571428571,12.2971428571429,53.7142857142857,93.1428571428571
201323,164,"AP2.2",24,"galeao",22.3471428571429,2.52857142857143,18.8571428571429,27,82.3242857142857,11.3814285714286,59.5714285714286,97.4285714285714
201324,146,"AP2.2",16,"galeao",22.6828571428571,2.30571428571429,19.4285714285714,27,78.6042857142857,12.5428571428571,52.8571428571429,94
201325,150,"AP2.2",19,"galeao",22.714,2.354,19.6,27.2,77.846,11.632,52.6,91.6
201326,123,"AP2.2",7,"galeao",22.5328571428571,2.28285714285714,19.4285714285714,26.8571428571429,78.1028571428571,11.5785714285714,56,92.2857142857143
201327,88,"AP2.2",7,"galeao",21.1228571428571,2.31428571428571,17.7142857142857,25.1428571428571,79.4,11.3114285714286,55.1428571428571,93.1428571428571
201328,90,"AP2.2",2,"galeao",20.3485714285714,3.33857142857143,15.4285714285714,25.5714285714286,75.8757142857143,14.4514285714286,51.7142857142857,93.1428571428571
201329,84,"AP2.2",1,"galeao",23.0928571428571,3.11714285714286,19.4285714285714,29.1428571428571,75.94,15.77,46.2857142857143,94.8571428571429
